game_id,win_char1,win_weapon1,win_lv1,win_leg1,win_tran1,win_char2,win_weapon2,win_lv2,win_leg2,win_tran2,win_char3,win_weapon3,win_lv3,win_leg3,win_tran3,lose_char1,lose_weapon1,lose_lv1,lose_leg1,lose_tran1,lose_char2,lose_weapon2,lose_lv2,lose_leg2,lose_tran2,lose_char3,lose_weapon3,lose_lv3,lose_leg3,lose_tran3
64700699,54,8,19,5,0,2,10,20,4,1,43,5,20,4,1,59,2,20,5,0,30,13,19,3,0,81,9,20,3,1
64698961,67,14,20,4,1,86,1,20,5,0,69,9,19,4,0,49,19,19,5,0,27,9,19,4,0,90,11,19,2,2
64698630,17,5,18,3,2,74,3,18,4,1,11,18,18,5,0,67,14,18,4,0,11,16,18,4,1,33,1,17,4,1
64737146,86,1,19,5,0,42,24,20,3,2,29,1,19,4,1,49,19,20,5,0,33,1,20,5,0,23,18,19,2,2
64737010,68,1,20,5,0,17,5,20,3,2,63,15,20,4,1,59,2,19,5,0,33,1,20,4,0,90,11,19,4,1
64727887,79,8,19,5,0,50,21,19,4,1,33,1,18,5,0,50,21,19,3,1,11,18,19,4,1,15,5,19,3,1
64726743,18,15,20,4,1,67,14,20,4,1,65,16,20,5,0,63,15,20,4,1,33,1,20,4,1,81,9,20,3,2
64715384,33,1,19,4,1,20,4,19,3,2,82,21,19,5,0,72,11,20,4,1,37,15,20,4,1,4,3,20,3,2
64714389,52,24,19,5,0,75,22,20,3,2,33,1,19,5,0,33,1,19,3,0,67,14,20,3,1,9,10,20,5,0
64711797,19,24,20,3,2,80,19,20,5,0,12,7,20,4,1,33,1,19,4,1,58,10,20,4,1,39,21,20,5,0
64583333,67,14,20,2,3,68,1,19,5,0,77,24,19,4,1,79,8,20,5,0,18,15,20,4,1,4,13,19,3,2
64582484,33,1,20,4,1,49,19,20,4,1,77,24,20,3,2,21,9,20,3,2,29,1,20,5,0,5,6,20,3,2
64581338,20,4,19,5,0,36,5,19,4,1,54,8,20,4,1,21,9,19,4,1,71,14,19,5,0,11,18,20,4,1
64579522,72,11,20,4,0,80,19,19,3,2,11,16,20,3,0,76,3,19,4,0,18,15,20,3,2,90,11,20,4,1
64575416,76,3,20,4,0,90,11,20,3,2,75,22,20,3,2,33,1,20,4,1,89,9,20,4,1,4,13,20,5,0
64573673,33,1,20,4,1,86,1,20,4,1,62,11,20,5,0,17,5,19,4,1,88,3,19,4,1,37,15,20,5,0
64571366,33,1,20,4,1,37,15,20,5,0,50,21,20,4,1,22,3,20,5,0,90,11,20,4,1,4,3,20,4,1
64569680,90,11,19,4,1,33,1,19,5,0,54,8,19,5,0,32,5,17,3,1,28,3,18,4,0,53,14,18,5,0
64567618,18,15,20,3,2,28,3,20,3,2,89,9,20,4,1,90,11,20,4,1,33,1,20,5,0,77,24,20,5,0
64566079,32,5,20,4,1,46,16,20,5,0,49,19,20,4,1,66,24,20,4,1,1,15,20,3,2,29,1,20,4,1
64634352,80,19,18,4,1,72,11,18,5,0,90,11,18,4,1,90,11,18,4,1,67,14,18,3,0,80,19,18,3,0
